,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48
generation1,1.0,2.0,3.0,2.0,3.0,2.0,3.917067118231617,3.2437893133351565,3.100875705599597,3.1560128211875336,3.0351867746854424,3.6969319520780064,3.612278496761316,3.6552952592383425,3.8081664175505328,3.1246746010991497,3.1872529661188382,3.7818535114913763,3.845386873524149,3.2693231824051123,3.084541948425909,3.5699437265571325,2.7674266090573187,3.1756986865288366,2.916638266325845,3.793515395925264,2.9665322732051695,2.843698602873026,3.2251117928910893,3.6190847892881512,2.879433239132917,3.3081728849851757,3.0052080010442452,2.9967446585504645,2.980696228350802,2.691247977818325,3.8660926908048707,3.1596183340577637,3.6093514293754043,3.1973525699736696,3.170727659561437,3.828508054988501,2.909827461759957,3.054797231285641,3.657096035651892,3.0067148149622445,3.604248371171473,3.215762270702721
generation2,0.0,1.0,3.0,0.0,2.0,0.0,3.836765679175342,3.1569465589647177,3.3846660924788505,2.979701431180063,3.000642822885214,3.118032076071702,3.598637373733609,3.0305404389213177,3.7003622338358113,2.9645635758282385,3.1343017245883753,3.4728359569316356,3.8679068624942863,3.0509884078154528,2.974354151083974,3.339831790151848,2.9381893789299207,3.2136081414685935,2.9973985033942907,3.864296348183462,2.9935327247598096,2.376989309279094,3.1179999534200995,3.6386986509247414,2.984815871309535,2.998757267414356,3.088456338857886,2.999273010717014,3.0036872502560255,2.9615437103538103,3.7947071548745597,3.0889400050364793,3.6707348727524103,3.0907382710215017,3.2453884413129312,3.4997776027208256,2.8391518839672467,3.001163576181096,3.0994977024203068,2.9581076678497973,3.4323303503635736,3.2646126093123264
generation3,4.0,4.0,4.0,0.0,4.0,4.0,3.9750435144197027,3.9604385655772685,3.956465618263913,3.9728850031606138,3.967100873461946,3.9899878646838784,3.992542609900131,3.986040822072356,3.9801343664321926,3.9857809089944904,3.98775591464313,3.9951780505647623,3.9961170884638433,3.9964935263918333,3.9797445714869317,3.9815272385420837,3.9225931189755485,3.9765187816871395,3.9715462330610967,3.9937550247344116,3.940445934545058,3.7016073243327137,3.9902541887896765,3.975266597639121,3.926101319044895,3.9902913528941513,3.9724523502220745,3.9898300798316417,3.9827872676963123,3.9743991485663064,3.9833753389423503,3.989182131581473,3.9939849307546056,3.9437413300113775,3.9774628647589525,3.996139172208108,3.916982884101793,3.9409500977416942,3.9943268435754216,3.9448325321385416,3.962287512673685,3.9952276740242474
generation4,2.0,1.0,4.0,3.0,2.0,1.0,3.995811167183816,3.5640561643650024,3.988921862971506,3.580878611936841,3.3315176556479926,3.9731741212177454,3.958157218575148,3.9850860551422578,3.9921799170949743,3.1116283820916912,3.5986614115638385,3.9799204496628935,3.9881610332802486,3.997905201569442,3.1432782119236222,3.8675443235368165,2.2144954303775024,3.08232012291849,2.3987321415137943,3.9859616157604685,2.3725523079789994,2.0251696408880298,3.9344927794097546,3.9739706844021048,2.2128995190984937,3.9950291389943513,3.9922599857088477,2.133206377750366,2.927947347482422,2.909005675374628,3.9980299637975842,3.594499905070654,3.989284421282429,3.2514063843878738,3.8055805290156037,3.9846492121871213,3.4440298289716598,3.439041897689189,3.9713629767004233,2.002482428690419,3.993973723364828,3.9882333173566673
generation5,2.0,1.0,4.0,4.0,4.0,2.0,3.991676291725365,3.8655995689019758,3.9777369239636933,3.921360184938762,3.9439575252722268,3.9907402067392415,3.9849458542551717,3.9822081484200402,3.9336545068267728,3.9461102415901212,3.9635103643783505,3.9668413616611873,3.9931800726352917,3.987431061744719,3.7586938604285764,3.9888070129357325,3.802568455029486,3.816093103149059,3.669161138955545,3.9859936055267595,3.820033431906541,3.534420727620238,3.9865164002130453,3.983861821116195,3.8336622487744627,3.9871150840795146,3.946629663172934,3.7943760148289036,3.906701182466611,3.736100153246803,3.99407763162644,3.967412095666958,3.9674611423022537,3.840783998373283,3.966082119125647,3.984714013620881,3.9251032337973917,3.9388156713854405,3.9810712979397778,3.916112639385782,3.989768912083416,3.965866874265497
generation6,2.0,1.0,3.0,3.0,4.0,2.0,3.6704985893095268,3.151073658504737,3.2955230569188783,3.0763941544243596,2.924206819027273,3.3948604859199327,3.96297062695174,3.3676570983252194,3.667290753990489,3.2578071750250954,3.0040733834338793,3.77074310059178,3.9291540464099994,3.0320056282481627,3.2088947209021152,3.118333610114891,2.820994682144039,3.230066628257142,2.985441037918724,3.7251656096149497,2.976548081047735,2.849993848536057,3.068453917812274,3.880861411175343,3.014675184564413,2.996122321951124,3.015942490470331,2.980190951782244,2.9754446464466784,2.868546504343366,3.802178773567454,2.9952924627098385,3.3822690249224894,3.231084524220047,2.9858716599457016,3.623547714943007,2.8261664407230263,2.9254500018842347,3.408615840267688,2.9804739393799156,3.686700085248563,3.0987906720009315
generation7,1.0,4.0,4.0,2.0,4.0,4.0,3.9921345602440335,3.982438434135024,3.9815107637582985,3.978496084899565,3.9705155177648805,3.9923973732798697,3.987511282137855,3.993072681131177,3.9837283457381623,3.9522638024207457,3.9802280728862027,3.993951207273268,3.9927338529487617,3.983118796695778,3.986635133923732,3.9806947356159346,3.9022397330321996,3.981676374272216,3.9249409068434926,3.9945046988518915,3.911282614326057,3.5499312297621146,3.9655471607094896,3.9822481297788217,3.9844047520644756,3.970436048598139,3.9873152222595545,3.8039459051324265,3.8981689094142413,3.979519915432037,3.9857473878161165,3.9741625718991282,3.9832187199578746,3.9821942481559613,3.986912609005226,3.990450116143873,3.842328732047742,3.885895941386599,3.9947070358741588,3.905681102505721,3.96745092158494,3.995110649029619
generation8,4.0,0.0,4.0,1.0,3.0,3.0,3.9766800775738833,3.9870934083252454,3.9893921410816553,3.9413410197522696,3.6038861302218486,3.9699104731878148,3.977433158816703,3.9846536562840886,3.9834760880978917,3.8500731367123255,3.91478048791549,3.977377468749625,3.9918028070330083,3.9974896965955704,3.881337354545354,3.895467705803251,3.3175292850627853,3.686672338518502,3.0703741531269952,3.9832630731051184,3.6590827800412513,2.886366625965909,3.933036690929225,3.9655900267224777,3.1805299956978748,3.9746359391436497,3.9642247123841985,3.8814471315710253,3.9060011474505707,3.288637690119106,3.9725031687273087,3.9080482829595535,3.981084863490817,3.818319241042364,3.9029801598773015,3.9902697482835885,3.910250581188152,3.927160575020568,3.9888700172329523,3.6400963014007197,3.9775765387883215,3.9928768079569106
generation9,4.0,2.0,3.0,0.0,2.0,3.0,3.901861056606751,3.8451592091781177,3.62934230678509,3.404880209562055,3.013101047480206,3.9359291707521127,3.9329972534319393,3.320008490512091,3.9220264153953233,3.6140414712873175,3.260610893019412,3.9369800435196867,3.9167168091456395,3.2404505920333513,3.9047637146137077,3.548404335802226,2.6446507212541923,3.9283148228439035,3.1258993720212884,3.9392393967975634,3.1291482827189836,2.207583024528482,3.3157406166963024,3.962408385493311,2.6921901094751632,3.104895298546647,3.5895791090946543,3.3669889064124563,3.0819387880233,3.6135197951665026,3.913321405455994,3.606150281465161,3.691311766231883,3.787307072707779,3.9472878984947326,3.875939768586824,3.11002868699749,3.5069251422849566,3.740086801784015,3.1260310400993436,3.790697498914735,3.8864546965013407
generation10,0.0,0.0,4.0,2.0,0.0,2.0,3.985502435699741,3.5264479972449423,3.9312390107389557,3.702434832225018,3.4130002873531695,3.8276304660473106,3.982434901152431,3.9333619510512277,3.9792082988462507,3.0698137037285393,3.833919157236008,3.911250809745547,3.9955966021905898,3.995812513447715,3.7269604567936936,3.773234753568562,1.3213719033852231,3.5274558364953736,2.4256792692953106,3.9658481951720006,3.318926363142446,1.3291657424587757,3.934204551422839,3.9646743645851936,2.1309573157687343,3.9896277654102708,3.978133801592857,3.6933772277668475,3.610530200441801,2.625172640501646,3.9981692481483218,3.8145641663882235,3.9861120940639636,3.847671081134347,3.912302257579848,3.971656113169103,3.4914043731954543,3.7895910865648044,3.9855829017701443,1.8983920422925729,3.9487369090386175,3.9931329509288775
