,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48
generation1,1.0,2.0,3.0,2.0,3.0,2.0,3.84484281572225,2.9095031850803794,2.7927660644757792,2.9046194096409694,3.1070650210727657,3.8385218413497753,3.730771537686379,2.817804748755443,3.1153343991638582,3.454190243455457,3.8506330242901794,2.590015482061561,2.815810886418846,3.1944317357143626,2.883826993866352,3.3763682688573637,2.9244469741543297,3.4444804835532716,2.8856641142617843,2.983639891564962,3.004464983612306,2.955137740418538,3.6183430872032,3.491602017302692,2.947514110058644,3.2849315137966237,3.200056323907492,3.8599535137996526,3.311329444249305,3.2816593963727554,2.691829817729387,3.6848611904984674,3.054301251362627,3.024616823360781,3.8376399258154197,3.2518956920521376,3.187278889276408,3.0040325475858713,2.9160611032277663,2.9487290385276452,2.7021625030514995,2.0791090485606913
generation2,0.0,1.0,3.0,0.0,2.0,0.0,3.723298158938579,2.9761916835251063,2.9494534527199776,3.05504172568966,3.43905256267157,3.4527611676351277,3.4097617763572283,2.4092489329119187,3.1838899030213224,3.6638931972555158,3.7877336176908316,2.7588666269468605,2.4739723002240583,2.9530889956091086,2.750707554276532,3.1065847353878855,2.9129591923858213,3.0202072627559318,2.8152517215891724,2.9578483410909238,3.1350072235276123,3.008425774887241,3.7741352678800544,3.1556133110862614,3.1230026066242567,3.2433815286407928,3.116804813634288,3.883384740559909,3.3898924336272405,2.925848782779013,2.806193183133137,3.3449479687329124,3.197082410247196,2.895223630466835,3.4444847472995463,3.132308470545717,3.0038990641900436,2.85352925898088,2.988719255508622,2.8782212074389695,2.592523729775265,2.0335178327431844
generation3,4.0,4.0,4.0,0.0,4.0,4.0,3.966503545647089,3.8782177469257526,3.91923096940355,3.9695101929909624,3.925315932805838,3.959421861027998,3.972899539654537,3.6927670821716383,3.9796389335647655,3.932169796935594,3.9757324903635567,3.785820796482643,3.6739854808708676,3.979637804381176,3.868277699759302,3.9870616469585713,3.9625190492001123,3.965628871012732,3.9756149173676296,3.949841633041897,3.970610216596669,3.9558683590690285,3.9895474811760527,3.9851121307439037,3.924206413930517,3.979519244025111,3.99909419305302,3.9749647293383776,3.9880391650494977,3.866087850517745,3.884822525236917,3.923549283755702,3.94400635704814,3.9883947488080684,3.989064063772433,3.9918245010419255,3.973050601602559,3.7592632947767997,3.963726103658462,3.9209355435826874,3.793631253374347,3.5367168856231075
generation4,2.0,1.0,4.0,3.0,2.0,1.0,3.9884115804693034,2.962454339181793,2.252857818467282,2.1976850650828306,3.337996031883082,3.9832337763368026,3.8050402827695162,2.603126811219291,3.6801570717329133,3.9808255723082975,3.9954271841657794,2.3107519285461033,2.4310369076005225,3.9743054996203986,2.3820626572095494,3.99877676291963,2.1101565369237174,3.9749009584574044,1.9131225645547243,2.216863658355762,2.351185989195112,2.8826941833161754,3.9952459795912816,3.993145962786713,3.229258229370621,3.5577453850842335,3.996591200756453,3.983745768852826,3.914796203895574,3.109089885416548,2.199206431729655,3.476795825444796,3.4666238360620336,2.026240239366105,3.9231045515094958,3.567549070810642,3.956640459997869,2.937273689364533,2.143059032795413,2.311979016611359,1.9102680850491462,1.466665653132572
generation5,2.0,1.0,4.0,4.0,4.0,2.0,3.993534810962256,3.837406937797307,3.6317756835802215,3.7033061318902676,3.931526527360496,3.9931822235348853,3.947640007183275,3.6706551923251802,3.9656852541599577,3.9868667115840677,3.9986095258618484,3.6931892397180444,3.580559942188612,3.972659845716324,3.775673386283858,3.9941609563317644,3.668429230911118,3.9900019515085643,3.1757379406742205,3.9381454442561306,3.985486620815877,3.9350505422712287,3.991635609296929,3.975484944627296,3.9302839874659723,3.9440711974214966,3.996135347318466,3.991214351060065,3.98931550446198,3.9228534959515557,3.3354001828372595,3.7805779466628695,3.90710723880356,3.8837736346379894,3.987741310808303,3.9033562567768594,3.993837867056534,3.8781498177630596,3.828456090481968,3.4249497607495565,3.5767414205245776,2.2628440380610773
generation6,2.0,1.0,3.0,3.0,4.0,2.0,3.5702804283306864,2.9248037008549024,2.8745160667325296,3.1163362564340678,3.6130983194927753,3.816721387061839,3.7731310366765545,2.6334383353679796,3.1850523870194816,3.6744116248907863,3.5613534770604223,2.769748435345265,2.860600245349324,3.574462170824307,2.9291525648904737,3.316913816528542,2.8502962685738096,3.5924641431538427,2.877467517786018,3.383342737977266,3.072064505868097,2.9917257041385947,3.526716485282511,3.4637781938669105,2.754566402388261,3.5787337724324986,3.052323285140675,3.75368576835673,3.540548067458308,3.150155377348136,2.8406807288117055,3.5511074444334647,3.7568839518689603,3.1393636358077677,3.915219297052391,3.7251036930872683,3.248458289698368,3.0171669963441516,2.9260744683532742,3.002878322197394,2.8272453264869095,2.271650895269436
generation7,1.0,4.0,4.0,2.0,4.0,4.0,3.989119296677707,3.733757363443566,3.9052957710423564,3.9847834287759043,3.978690719073346,3.9864256218572724,3.975614576089664,3.4854363359156126,3.9839310608805505,3.9961562889992632,3.9927049030115813,2.5760961642484133,3.635028352186859,3.973378096743212,3.805042773873567,3.989611511409783,3.711682817389665,3.995532692218972,3.918598032234094,3.991884190141207,3.981972294929139,3.933089029098395,3.9926826234790997,3.98107232761139,3.9776359016073437,3.9823711207242782,3.9900981105351407,3.9917589855441267,3.994725090231778,3.8558467854473863,3.7627888574166417,3.995273968122787,3.9919864584996207,3.98360132211229,3.9949221923780933,3.9807375774124596,3.960431425554441,3.6298202211545485,3.8859580361285877,3.5316613638633965,3.691985219822998,3.806652200527033
generation8,4.0,0.0,4.0,1.0,3.0,3.0,3.996925449235594,3.346722348206805,3.603263842799274,3.862994948722823,3.77731688851118,3.9637567150150246,3.9170122067464526,2.7167467922598663,3.9558300914671665,3.9831095825709184,3.9912673417762803,3.0140663071274783,2.9797739214573933,3.970091098644814,3.8178443809765334,3.990874484138835,3.659018438280989,3.97050533138653,3.5267759580023355,3.808002798436178,3.9104239188626493,3.949352879815039,3.9866231515745616,3.957791020754256,3.886059968903633,3.9772261237203717,3.997034451962332,3.983323365574829,3.9864604545234212,2.995847433209178,3.269907843394444,3.953089457560806,3.9653327045328837,3.9148864526458613,3.975812518271837,3.9251807917494625,3.9744851294667214,3.0574818509902513,3.942505471908861,3.508190324610316,3.3229129877037393,3.031306077706972
generation9,4.0,2.0,3.0,0.0,2.0,3.0,3.910899169502604,2.6833836317543907,3.2109859172128763,3.266621828188785,3.4444132941440473,3.8440030588981675,3.5294844186450334,2.231537692127724,3.3722328518349958,3.899317195721245,3.671866543764657,2.4477051037476527,2.912727412936245,3.117193337708392,2.5306397746450324,3.140965218777627,2.8301218275072317,3.7056125181336608,2.8570914940714855,3.065413874246291,3.9781068476225783,2.888311536582497,3.6891504848837022,3.5478556765961877,2.994176744081868,3.933595399194571,3.44826053667867,3.9400566043738947,3.903807074006549,2.8271602375691605,3.0346599172528737,3.8801887148839267,3.971663509186397,2.925153670756346,3.9609898952224554,3.8472208735671347,3.1713332767858895,2.9104666695081556,2.962832920539462,3.109994317491583,2.6746586130244205,2.959650979543656
generation10,0.0,0.0,4.0,2.0,0.0,2.0,3.967344703455222,1.8653109942027108,1.7714426916767574,2.194943524966081,3.557543326709,3.9764367623287282,3.840225212990939,1.611140853223107,3.8618330309440037,3.944592928483552,3.9952973869515973,1.9259487228962962,1.3678379434839218,3.896175258000044,2.0304271592671665,3.9962317154082587,2.0687499813567003,3.9686839443895474,0.3926936368152306,3.0970781476196656,3.745270486230462,2.6918723755635754,3.9808056046880522,3.979490854544027,3.034264726521108,3.927179935479573,3.983836678703765,3.968527086789918,3.8934380195785936,2.3386310102516608,1.9218597690522135,3.7869173419001347,3.9397613052253297,2.384555634834208,3.9726374945474285,3.564564759445354,3.978397977652632,2.2460383186902604,3.20096265420826,1.9502279382626921,1.3589621160825833,1.7020013737770432
